%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1753722552917925867,142591,1753722552917925867,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030870856344389148,-0.010493388939008464,0.004320070687844953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.504074499268799,0.6429063526757814,10.50885426345337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552922877867,142592,1753722552922877867,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014090537201689434,-0.01152914774247629,0.0043995498265343574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2937110828613282,0.679153967260132,10.508080397621768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552927929710,142593,1753722552927929710,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006977285429364843,-0.012962548379791201,0.004850721144762497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25581553927429207,0.7012851892910769,10.429977409469608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552932762212,142594,1753722552932762212,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010973891315729433,-0.012974718206784515,0.004641465488911666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2715927296643067,0.6372726166043092,10.33612500366669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552937884020,142595,1753722552937884020,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017067181656164054,-0.011907957818174244,0.003590502471879252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3104962920053101,0.5744932971926882,10.208212625191347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552942730538,142596,1753722552942730538,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01646019135943005,-0.012135250319734656,0.002732412651283597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30639161282409677,0.4886553617370606,10.130067618800052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552947896296,142597,1753722552947896296,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016359310111200683,-0.013312100028589787,0.0023928478465859563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29879343429046634,0.3694043668975831,10.247811523549503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552952727309,142598,1753722552952727309,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020455635140299255,-0.013616829914045631,0.002409843639455925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3576959426638795,0.29975033683898933,10.555255388003237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552957882533,142599,1753722552957882533,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02297599581938376,-0.011948954317594681,0.0025777719186272164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4026674295474244,0.31924662023284917,10.845687491980899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552962783315,142600,1753722552962783315,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018314903659883412,-0.00941449907429014,0.0022886416854114694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39774632760009776,0.4497911241583253,10.949673176745303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
