%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1753722552885435107,71569,1753722552885435107,odom,base_link,778234.4512561215,3401414.108947527,96.74208797607571,0.01850081773911102,-0.022723183559650303,-0.9993017009141878,0.023183770657718483,0.0002575582484004718,0.0,0.0,0.0,0.0,0.0,0.0,0.00033619577830035566,0.0,0.0,0.0,0.0,0.0,0.0,0.002655664159260121,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.687360977088789,-0.05635612004060894,0.0876823534454021,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552895440642,71570,1753722552895440642,odom,base_link,778234.4512561215,3401414.108947527,96.74208797607571,0.01837835830385917,-0.02276697471458356,-0.9993030899935744,0.023178333367492587,0.0002575582484004718,0.0,0.0,0.0,0.0,0.0,0.0,0.00033619577830035566,0.0,0.0,0.0,0.0,0.0,0.0,0.002655664159260121,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.69758513839661,-0.049852611601615415,0.07629034854416283,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552906292764,71571,1753722552906292764,odom,base_link,778234.4512561215,3401414.108947527,96.74208797607571,0.01817182075994826,-0.022722082708073788,-0.9993072300982299,0.023206718016111405,0.0002575582484004718,0.0,0.0,0.0,0.0,0.0,0.0,0.00033619577830035566,0.0,0.0,0.0,0.0,0.0,0.0,0.002655664159260121,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.706597449689827,-0.04799178714930265,0.06884737609544395,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552915461546,71572,1753722552915461546,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.017795380256208346,-0.022679487060019127,-0.9993145896851374,0.02322318132075546,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.715155033906957,-0.04532040045565322,0.07722801191746548,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552925346809,71573,1753722552925346809,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.01797572849351555,-0.02261156956515246,-0.9993123038957373,0.02324885781111019,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.727092521922017,-0.05302589601892974,0.0913077293668928,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552935317215,71574,1753722552935317215,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.01795970326569474,-0.022532897525963796,-0.9993137500565097,0.023275449204867515,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.736114447927225,-0.055241551051306716,0.09295765738517525,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552945349057,71575,1753722552945349057,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.017822111236697965,-0.022483570810965657,-0.999317450571149,0.023270031771230493,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.741685984911232,-0.05531645326157461,0.08941122237404864,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552955345826,71576,1753722552955345826,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.017689904747922654,-0.022404424695770628,-0.999321418038177,0.023276865644418276,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.744477013908655,-0.05511038792174671,0.1006284295783447,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552965313913,71577,1753722552965313913,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.017607909303769036,-0.022393591870640734,-0.9993229004951505,0.023285813686465928,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.754339387578012,-0.054437893482626065,0.11716309562710053,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722552975314680,71578,1753722552975314680,odom,base_link,778233.4927937819,3401414.0484170928,96.69556264951825,0.017896675171523078,-0.022371460625765748,-0.9993176405015101,0.023312660718365352,0.00026589984489025845,0.0,0.0,0.0,0.0,0.0,0.0,0.0003438350210350216,0.0,0.0,0.0,0.0,0.0,0.0,0.00262658727398396,0.0,0.0,0.0,0.0,0.0,0.0,0.0003757095786887654,0.0,0.0,0.0,0.0,0.0,0.0,0.00045170295455060697,0.0,0.0,0.0,0.0,0.0,0.0,0.03640968247932452,9.770539133113273,-0.0563449940069998,0.12204190899413869,0.0,0.0,0.0,0.0037730723241608116,0.0,0.0,0.0,0.0,0.0,0.0,0.001990454390830232,0.0,0.0,0.0,0.0,0.0,0.0,0.0021267447296713926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
